Molecule ChEMBL ID,Molecule Name,Molecule Max Phase,Molecular Weight,#RO5 Violations,AlogP,Compound Key,Smiles,Standard Type,Standard Relation,Standard Value,Standard Units,pChEMBL Value,Data Validity Comment,Comment,Uo Units,Ligand Efficiency BEI,Ligand Efficiency LE,Ligand Efficiency LLE,Ligand Efficiency SEI,Potential Duplicate,Assay ChEMBL ID,Assay Description,Assay Type,BAO Format ID,BAO Label,Assay Organism,Assay Tissue ChEMBL ID,Assay Tissue Name,Assay Cell Type,Assay Subcellular Fraction,Assay Parameters,Assay Variant Accession,Assay Variant Mutation,Target ChEMBL ID,Target Name,Target Organism,Target Type,Document ChEMBL ID,Source ID,Source Description,Document Journal,Document Year,Cell ChEMBL ID,Properties,Action Type,Standard Text Value,Value
CHEMBL3657170,,None,470.61,1,6.19,BDBM129653,CCc1c(-c2ccc(O)cc2)n(Cc2ccc(OCCN3CCCCC3)cc2)c2ccc(O)cc12,IC50,'=',150,nM,6.82,,261376,UO_0000065,14.5,0.27,0.63,11.79,0,CHEMBL3705466,Binding Assay: The competition assay was performed in a 96-well plate (polystyrene*) which binds <2.0% of the total input [3H]-17beta-estradiol and each data point was gathered in triplicate. 100 uG/100 uL of the receptor preparation was aliquoted per well. A saturating dose of 2.5 nM [3H]17beta-estradiol+competitor (or buffer) in a 50 uL volume was added in the preliminary competition when 100x and 500x competitor were evaluated,,,,,,,,,,,,,,,,,,,,,,,,,
CHEMBL3657174,,None,486.61,1,5.95,BDBM129657,COc1cc(Cn2c(-c3ccc(O)cc3)c(C)c3cc(O)ccc32)ccc1OCCN1CCCCC1,IC50,'=',80,nM,7.1,,261380,UO_0000065,14.58,0.27,1.15,10.58,0,CHEMBL3705466,Binding Assay: The competition assay was performed in a 96-well plate (polystyrene*) which binds <2.0% of the total input [3H]-17beta-estradiol and each data point was gathered in triplicate. 100 uG/100 uL of the receptor preparation was aliquoted per well. A saturating dose of 2.5 nM [3H]17beta-estradiol+competitor (or buffer) in a 50 uL volume was added in the preliminary competition when 100x and 500x competitor were evaluated,,,,,,,,,,,,,,,,,,,,,,,,,
CHEMBL83,TAMOXIFEN,4,371.52,1,6,TAMOXIFEN,CC/C(=C(\c1ccccc1)c1ccc(OCCN(C)C)cc1)c1ccccc1,IC50,'=',222,nM,6.65,,,UO_0000065,17.91,0.32,0.65,53.36,1,CHEMBL4253007,Inhibition of estrogen receptor (unknown origin),B,BAO_0000357,single protein format,Homo sapiens,None,None,None,None,,,,CHEMBL206,Estrogen receptor,Homo sapiens,SINGLE PROTEIN,CHEMBL4251582,1,Scientific Literature,Eur J Med Chem,2018,None,,,,222
CHEMBL1676,FLUTICASONE FUROATE,4,538.58,1,4.93,FF,C[C@@H]1C[C@H]2[C@@H]3C[C@H](F)C4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@]2(C)[C@@]1(OC(=O)c1ccco1)C(=O)SCF,IC50,'>',5000,nM,,,,UO_0000065,,,,,0,CHEMBL4031197,Displacement of fluormone labelled EL Red from human recombinant estrogen receptor alpha after 1 to 5 hrs by fluorescence polarization assay,B,BAO_0000357,single protein format,Homo sapiens,None,None,None,None,,,,CHEMBL206,Estrogen receptor,Homo sapiens,SINGLE PROTEIN,CHEMBL4028861,1,Scientific Literature,J Med Chem,2017,None,,,,5
CHEMBL4171598,,None,471.62,1,6.26,67,Oc1ccc2c(c1)C(c1ccc(OCCN3CCCCC3)cc1)c1c(sc3cc(O)ccc13)C2,IC50,'=',0.9,nM,9.05,,,UO_0000065,19.18,0.36,2.79,17.09,0,CHEMBL4132009,Antagonist activity at ER in human MCF7 cells assessed as inhibition of 17beta-estradiol-induced cell proliferation,B,BAO_0000219,cell-based format,Homo sapiens,None,None,MCF7,None,,,,CHEMBL206,Estrogen receptor,Homo sapiens,SINGLE PROTEIN,CHEMBL4130365,1,Scientific Literature,Eur J Med Chem,2017,None,,,,0.9
CHEMBL4278269,,None,440.45,None,None,12e,Cc1cc(-c2c[se]cc2-c2ccc(OCCN3CCCC3)c(C)c2)ccc1O,IC50,'=',836,nM,6.08,,,UO_0000065,13.8,None,None,None,0,CHEMBL4262708,Antagonist activity at ERalpha (unknown origin) expressed in HEK293T cells assessed as inhibition of 17beta-estradiol stimulated transcriptional activity after 24 hrs by dual luciferase reporter gene assay,B,BAO_0000219,cell-based format,Homo sapiens,None,None,None,None,,,,CHEMBL206,Estrogen receptor,Homo sapiens,SINGLE PROTEIN,CHEMBL4261529,1,Scientific Literature,Medchemcomm,2017,None,,,,0.836
CHEMBL328716,,None,481.59,1,6.07,12,Oc1ccc([C@@H]2Sc3c(ccc(O)c3F)O[C@@H]2c2ccc(OCCN3CCCCC3)cc2)cc1,IC50,'=',0.8,nM,9.1,,,UO_0000065,18.89,0.37,3.03,14.63,0,CHEMBL873603,Displacement of [3H]17-beta-estradiol from full length human estrogen receptor alpha,B,BAO_0000357,single protein format,None,None,None,None,None,,,,CHEMBL206,Estrogen receptor,Homo sapiens,SINGLE PROTEIN,CHEMBL1146754,1,Scientific Literature,Bioorg Med Chem Lett,2004,None,,,,0.8
CHEMBL180873,,None,548.66,2,6.48,2j,Cc1cccc(C(=O)N2CCN(c3ccc(C(=O)c4c(-c5ccc(O)cc5)sc5cc(O)ccc45)cc3)CC2)c1,IC50,'=',0.27,nM,9.57,,,UO_0000065,17.44,0.33,3.09,11.8,0,CHEMBL833547,Inhibition of estrogen receptor alpha,B,BAO_0000357,single protein format,Homo sapiens,None,None,None,None,,,,CHEMBL206,Estrogen receptor,Homo sapiens,SINGLE PROTEIN,CHEMBL1141904,1,Scientific Literature,Bioorg Med Chem Lett,2005,None,,,,0.27
CHEMBL4063001,,None,403.45,0,4.96,9,CC1(c2ccc(/C=C/C(=O)O)cc2)c2ccc(O)cc2CCN1c1ccc(F)cc1,IC50,'=',7,nM,8.15,,,UO_0000065,20.21,0.37,3.19,13.42,0,CHEMBL4011151,Induction of ERalpha degradation in human MCF7 cells after 18 to 24 hrs by Western blot analysis,B,BAO_0000219,cell-based format,Homo sapiens,None,None,None,None,,,,CHEMBL206,Estrogen receptor,Homo sapiens,SINGLE PROTEIN,CHEMBL4007492,1,Scientific Literature,J Med Chem,2017,None,,,,7
CHEMBL334949,,None,535.03,2,5.68,24,C/C(=C\Cc1c(O)c(C=O)c(C)c(Cl)c1OC(=O)CCCC(=O)O)CC/C=C(\C)[C@@H]1CC(=O)C(C)(C)O1,IC50,,,nM,,,,UO_0000065,,,,,0,CHEMBL677872,Minimum effective concentration required to inhibit Estrogen receptor 1 (ER alpha); Not detected,B,BAO_0000357,single protein format,None,None,None,None,None,,,,CHEMBL206,Estrogen receptor,Homo sapiens,SINGLE PROTEIN,CHEMBL1145088,1,Scientific Literature,J Med Chem,2003,None,,,Not active,
CHEMBL1222036,,None,527.64,2,6.47,DRL527,O=C(O)/C=C/c1ccc2c(C(=O)c3ccc(OCCN4CCCCC4)cc3)c(-c3ccc(O)cc3)sc2c1,IC50,'=',82,nM,7.09,,,UO_0000065,,,,,0,CHEMBL1227817,Antagonist activity at human wild type ERalpha expressed in HEK293T cells co-expressing ERE assessed as inhibition of estradiol-induced transactivation by luciferase reporter gene assay,F,BAO_0000219,cell-based format,Homo sapiens,None,None,HEK-293T,None,,,,CHEMBL206,Estrogen receptor,Homo sapiens,SINGLE PROTEIN,CHEMBL1221256,1,Scientific Literature,Bioorg Med Chem Lett,2010,CHEMBL3706569,,,,82
CHEMBL92335,,None,477.63,1,6.24,8,Cc1cc2c(cc1O)O[C@H](c1ccc(OCCN3CCCCC3)cc1)[C@H](c1ccc(O)cc1)S2,IC50,,,nM,,,Not Determined,UO_0000065,,,,,0,CHEMBL679887,Agonist effect in transcriptional activation in HEK293 cells expressing human estrogen receptor alpha; ND denotes not determined,F,BAO_0000219,cell-based format,Homo sapiens,None,None,HEK293,None,,,,CHEMBL206,Estrogen receptor,Homo sapiens,SINGLE PROTEIN,CHEMBL1146754,1,Scientific Literature,Bioorg Med Chem Lett,2004,CHEMBL3307715,,,,
CHEMBL1086644,,None,499.61,1,6.18,(+)-8a,Oc1ccc2c(c1)OC(c1ccc(OCCN3CCCCC3)cc1)C1=C2CCCOc2cc(O)ccc21,IC50,'=',280,nM,6.55,,,UO_0000065,,,,,0,CHEMBL1114102,Antagonist activity at estrogen receptor in human MCF7 cells assessed as 17-beta-estradiol-induced cell proliferation after 24 hrs by [14C]thymidine incorporation assay,F,BAO_0000219,cell-based format,Homo sapiens,None,None,MCF7,None,,,,CHEMBL206,Estrogen receptor,Homo sapiens,SINGLE PROTEIN,CHEMBL1153760,1,Scientific Literature,J Med Chem,2009,CHEMBL3308403,,,,280
CHEMBL183086,,None,477.63,1,6.32,28,CC[C@H](CN1CCCC1)Oc1ccc([C@@H]2Oc3ccc(O)cc3S[C@@H]2c2ccc(O)cc2)cc1,IC50,'=',1.2,nM,8.92,,,UO_0000065,18.68,0.36,2.6,14.35,0,CHEMBL832667,Inhibition of bindign to recombinant human estrogen receptor alpha,B,BAO_0000357,single protein format,Homo sapiens,None,None,None,None,,,,CHEMBL206,Estrogen receptor,Homo sapiens,SINGLE PROTEIN,CHEMBL1144457,1,Scientific Literature,Bioorg Med Chem Lett,2005,None,,,,1.2
CHEMBL319678,,None,463.02,1,5.85,17,CC1(c2ccc(OCCN3CCCC3)cc2)c2ccc(O)cc2CCN1c1cccc(Cl)c1,IC50,'=',2.897,nM,8.54,,,UO_0000065,18.44,0.35,2.69,23.76,1,CHEMBL831663,Inhibition of transcriptional activation by human estrogen receptor alpha,B,BAO_0000357,single protein format,Homo sapiens,None,None,None,None,,,,CHEMBL206,Estrogen receptor,Homo sapiens,SINGLE PROTEIN,CHEMBL1141983,1,Scientific Literature,Bioorg Med Chem Lett,2005,None,,,,2.538
CHEMBL361762,,None,354.13,0,3.82,137,COc1cc(O)c(Br)c2nc(-c3ccc(O)c(F)c3)oc12,IC50,'=',2668,nM,5.57,,,UO_0000065,15.74,0.36,1.75,7.36,0,CHEMBL829540,Inhibitory concentration against human ER alpha expressed in Escherichia coli was determined using [3H]17-beta-estradiol as radio ligand,B,BAO_0000019,assay format,Homo sapiens,None,None,None,None,,,,CHEMBL206,Estrogen receptor,Homo sapiens,SINGLE PROTEIN,CHEMBL1138773,1,Scientific Literature,J Med Chem,2004,None,,,,2668
CHEMBL1358,FULVESTRANT,4,606.78,2,8.68,Fulvestrant,C[C@]12CC[C@@H]3c4ccc(O)cc4C[C@@H](CCCCCCCCC[S+]([O-])CCCC(F)(F)C(F)(F)F)[C@H]3[C@@H]1CC[C@@H]2O,IC50,'=',1.2,nM,8.92,,,UO_0000065,14.7,0.3,0.24,14.04,0,CHEMBL4011208,Induction of ERalpha degradation in human MCF7 cells after 18 hrs by Western blot analysis,B,BAO_0000219,cell-based format,Homo sapiens,None,None,None,None,,,,CHEMBL206,Estrogen receptor,Homo sapiens,SINGLE PROTEIN,CHEMBL4007492,1,Scientific Literature,J Med Chem,2017,None,,,,1.2
CHEMBL316292,,None,442.56,0,4.65,11b,O=C(c1ccccc1)N1CCc2cc(O)ccc2C1c1ccc(OCCN2CCCC2)cc1,IC50,'=',562,nM,6.25,,,UO_0000065,14.12,0.26,1.6,11.79,0,CHEMBL679891,In vitro concentration required to inhibit [3H]estradiol binding to human estrogen receptor alpha expressed in 293T cells,B,BAO_0000219,cell-based format,None,None,None,293T,None,,,,CHEMBL206,Estrogen receptor,Homo sapiens,SINGLE PROTEIN,CHEMBL1146753,1,Scientific Literature,Bioorg Med Chem Lett,2004,None,,,,562
